Parasite,Confidence,X,Y,W,H,Image
Hookworm,1.0,2322,1892,332,374,03_08.jpeg
Hookworm,1.0,2466,1007,148,112,22_26.jpeg
Hookworm,1.0,1227,1295,167,132,17_08.jpeg
Hookworm,1.0,2664,2341,117,159,17_25.jpeg
Hookworm,1.0,1688,2616,149,100,12_10.jpeg
Hookworm,1.0,3029,890,324,250,26_16.jpeg
Hookworm,1.0,3097,731,189,310,03_21.jpeg
Hookworm,1.0,3299,2482,118,134,20_15.jpeg
Hookworm,1.0,1827,3412,64,84,11_04.jpeg
Hookworm,1.0,576,1194,383,486,22_05.jpeg
Hookworm,1.0,2538,2416,167,154,13_03.jpeg
Hookworm,1.0,2685,1905,317,361,20_22.jpeg
Hookworm,1.0,1503,1413,252,293,30_12.jpeg
Hookworm,1.0,1963,3117,134,165,18_20.jpeg
Hookworm,1.0,2711,3043,126,103,30_08.jpeg
Hookworm,1.0,3082,1840,80,60,22_20.jpeg
Hookworm,1.0,1047,2432,103,66,11_08.jpeg
Hookworm,1.0,1688,2925,118,93,15_04.jpeg
Hookworm,1.0,2834,866,104,121,14_27.jpeg
Hookworm,1.0,2558,3352,238,337,07_13.jpeg
Hookworm,1.0,1691,2913,85,135,02_02.jpeg
Hookworm,1.0,3051,3227,120,77,18_17.jpeg
Hookworm,1.0,598,1796,106,80,29_01.jpeg
Hookworm,1.0,3385,2254,96,159,14_16.jpeg
Hookworm,1.0,1958,2141,147,99,30_15.jpeg
Hookworm,1.0,768,1060,109,123,23_17.jpeg
Hookworm,1.0,749,3262,81,121,31_27.jpeg
Hookworm,1.0,1698,704,103,79,20_27.jpeg
Hookworm,1.0,2765,1935,149,107,25_03.jpeg
Hookworm,1.0,1501,1370,129,95,16_27.jpeg
Hookworm,1.0,2068,2504,179,112,24_20.jpeg
Hookworm,1.0,864,2282,88,148,23_03.jpeg
Hookworm,1.0,1459,3002,241,319,24_15.jpeg
Hookworm,1.0,667,2859,108,80,10_07.jpeg
Hookworm,1.0,1375,1382,180,233,11_31.jpeg
Hookworm,1.0,2519,1920,93,128,09_06.jpeg
Hookworm,1.0,1729,3013,114,154,27_17.jpeg
Hookworm,1.0,1337,1198,126,116,00_06.jpeg
Hookworm,1.0,766,1862,77,119,31_04.jpeg
Hookworm,1.0,1150,1010,195,192,12_28.jpeg
Hookworm,1.0,1644,2383,117,119,11_21.jpeg
Hookworm,1.0,2779,3001,123,89,29_02.jpeg
Hookworm,1.0,2116,1655,159,98,06_06.jpeg
Hookworm,1.0,2389,1245,152,222,14_22.jpeg
Hookworm,1.0,2298,1955,227,335,06_23.jpeg
Hookworm,1.0,1771,765,106,94,08_08.jpeg
Hookworm,1.0,1012,2181,129,126,21_08.jpeg
Hookworm,1.0,734,2433,108,95,29_05.jpeg
Hookworm,1.0,2732,1364,149,160,16_03.jpeg
Hookworm,1.0,2796,2130,221,335,10_29.jpeg
