Parasite,Confidence,X,Y,W,H,Image
Trichuris trichiura,1.0,878,3036,88,48,13_15.jpeg
Trichuris trichiura,1.0,1177,1888,64,134,02_05.jpeg
Trichuris trichiura,1.0,2617,2555,137,200,24_30.jpeg
Trichuris trichiura,1.0,2634,3438,54,107,10_18.jpeg
Trichuris trichiura,1.0,2412,2438,106,121,06_05.jpeg
Trichuris trichiura,1.0,2654,1454,120,105,03_06.jpeg
Trichuris trichiura,1.0,896,2502,273,138,00_14.jpeg
Trichuris trichiura,1.0,1659,2190,91,48,11_26.jpeg
Trichuris trichiura,1.0,797,1046,192,139,14_06.jpeg
Trichuris trichiura,1.0,2056,2149,100,67,15_11.jpeg
Trichuris trichiura,1.0,2755,3498,304,151,26_01.jpeg
Trichuris trichiura,1.0,449,3596,76,34,01_25.jpeg
Trichuris trichiura,1.0,1044,1256,137,64,22_06.jpeg
Trichuris trichiura,1.0,1594,2693,75,134,21_11.jpeg
Trichuris trichiura,1.0,2361,2613,166,86,16_03.jpeg
Trichuris trichiura,1.0,1414,2534,158,85,03_08.jpeg
Trichuris trichiura,1.0,2223,2074,208,106,05_24.jpeg
Trichuris trichiura,1.0,1062,2590,43,73,06_30.jpeg
Trichuris trichiura,1.0,2336,1629,70,72,21_25.jpeg
Trichuris trichiura,1.0,2266,2763,45,83,03_19.jpeg
Trichuris trichiura,1.0,2065,3404,131,90,20_28.jpeg
Trichuris trichiura,1.0,498,1091,167,313,18_30.jpeg
Trichuris trichiura,1.0,2292,2060,136,69,31_15.jpeg
Trichuris trichiura,1.0,1853,559,74,171,16_23.jpeg
Trichuris trichiura,1.0,2990,3108,79,116,04_31.jpeg
Trichuris trichiura,1.0,1040,2878,198,294,25_08.jpeg
Trichuris trichiura,1.0,2516,2483,99,139,25_25.jpeg
Trichuris trichiura,1.0,2964,1048,141,195,19_19.jpeg
Trichuris trichiura,1.0,979,1277,105,78,11_25.jpeg
Trichuris trichiura,1.0,2572,2088,162,90,13_26.jpeg
Trichuris trichiura,1.0,1987,2394,64,135,10_17.jpeg
Trichuris trichiura,1.0,1508,1942,119,68,02_04.jpeg
Trichuris trichiura,1.0,1388,2315,144,305,05_29.jpeg
Trichuris trichiura,1.0,1534,2752,83,64,27_18.jpeg
Trichuris trichiura,1.0,2000,2739,147,293,27_01.jpeg
Trichuris trichiura,1.0,2386,1174,138,83,27_05.jpeg
Trichuris trichiura,1.0,2489,1852,63,102,13_13.jpeg
Trichuris trichiura,1.0,2288,2675,43,85,17_05.jpeg
Trichuris trichiura,1.0,719,3347,156,85,28_05.jpeg
Trichuris trichiura,1.0,3058,2335,150,76,12_26.jpeg
Trichuris trichiura,1.0,1425,2295,299,203,02_00.jpeg
Trichuris trichiura,1.0,942,1758,99,100,29_28.jpeg
Trichuris trichiura,1.0,2642,856,104,113,21_24.jpeg
Trichuris trichiura,1.0,2899,1499,152,259,13_24.jpeg
Trichuris trichiura,1.0,1571,1380,86,137,18_24.jpeg
Trichuris trichiura,1.0,1048,1741,343,171,03_29.jpeg
Trichuris trichiura,1.0,2307,1076,167,85,06_21.jpeg
Trichuris trichiura,1.0,1247,2625,218,342,09_09.jpeg
Trichuris trichiura,1.0,1056,2710,196,128,21_30.jpeg
Trichuris trichiura,1.0,2259,1113,75,127,16_25.jpeg
