Parasite,Confidence,X,Y,W,H,Image
Hymenolepis diminuta,1.0,399,577,161,152,25_5.jpeg
Hymenolepis diminuta,1.0,1163,2396,424,421,6_16.jpeg
Hymenolepis diminuta,1.0,1914,1454,194,196,28_9.jpeg
Hymenolepis diminuta,1.0,2467,2142,166,173,21_5.jpeg
Hymenolepis diminuta,1.0,1476,2978,148,163,3_23.jpeg
Hymenolepis diminuta,1.0,1080,2735,150,147,13_7.jpeg
Hymenolepis diminuta,1.0,1831,1930,160,165,27_8.jpeg
Hymenolepis diminuta,1.0,2399,3074,139,139,23_14.jpeg
Hymenolepis diminuta,1.0,3302,3319,498,489,30_31.jpeg
Hymenolepis diminuta,1.0,2494,1868,476,481,21_9.jpeg
Hymenolepis diminuta,1.0,941,2128,123,124,29_0.jpeg
Hymenolepis diminuta,1.0,2843,2919,159,160,12_17.jpeg
Hymenolepis diminuta,1.0,1104,1805,427,465,19_23.jpeg
Hymenolepis diminuta,1.0,1099,1018,147,148,16_28.jpeg
Hymenolepis diminuta,1.0,1196,1313,410,419,31_8.jpeg
Hymenolepis diminuta,1.0,1900,1473,155,160,17_31.jpeg
Hymenolepis diminuta,1.0,2143,1233,148,152,22_6.jpeg
Hymenolepis diminuta,1.0,2632,2804,110,113,3_12.jpeg
Hymenolepis diminuta,1.0,1699,2070,177,180,24_0.jpeg
Hymenolepis diminuta,1.0,1981,1911,153,148,22_14.jpeg
Hymenolepis diminuta,1.0,935,1116,325,316,28_11.jpeg
Hymenolepis diminuta,1.0,1321,2446,142,141,22_21.jpeg
Hymenolepis diminuta,1.0,2669,2638,164,170,4_7.jpeg
Hymenolepis diminuta,1.0,1360,2417,133,135,25_29.jpeg
Hymenolepis diminuta,1.0,1523,1770,169,165,25_28.jpeg
Hymenolepis diminuta,1.0,1956,2427,385,381,19_11.jpeg
Hymenolepis diminuta,1.0,1714,2226,92,93,17_10.jpeg
Hymenolepis diminuta,1.0,2803,2882,319,325,25_15.jpeg
Hymenolepis diminuta,1.0,1217,3369,149,150,8_31.jpeg
Hymenolepis diminuta,1.0,2249,1166,329,329,1_10.jpeg
Hymenolepis diminuta,1.0,967,1285,182,186,2_25.jpeg
Hymenolepis diminuta,1.0,1127,2199,420,461,11_9.jpeg
Hymenolepis diminuta,1.0,1035,1903,193,185,18_22.jpeg
Hymenolepis diminuta,1.0,1126,1674,198,230,30_23.jpeg
Hymenolepis diminuta,1.0,932,2499,268,274,24_25.jpeg
Hymenolepis diminuta,1.0,2794,1551,105,105,9_10.jpeg
Hymenolepis diminuta,1.0,2202,2324,157,164,17_21.jpeg
Hymenolepis diminuta,1.0,898,2418,149,142,19_5.jpeg
Hymenolepis diminuta,1.0,2664,2458,107,111,19_10.jpeg
Hymenolepis diminuta,1.0,2093,744,140,139,2_5.jpeg
Hymenolepis diminuta,1.0,2125,3172,129,118,27_0.jpeg
Hymenolepis diminuta,1.0,2219,1764,319,317,26_30.jpeg
Hymenolepis diminuta,1.0,2509,3081,174,177,29_8.jpeg
Hymenolepis diminuta,1.0,3047,1931,160,165,1_11.jpeg
Hymenolepis diminuta,1.0,1659,2337,115,125,4_5.jpeg
Hymenolepis diminuta,1.0,2786,1755,94,95,8_12.jpeg
Hymenolepis diminuta,1.0,2946,948,324,327,12_1.jpeg
Hymenolepis diminuta,1.0,1417,2738,427,433,0_11.jpeg
Hymenolepis diminuta,1.0,2628,3008,98,98,7_17.jpeg
Hymenolepis diminuta,1.0,2821,847,124,128,18_23.jpeg
