Parasite,Confidence,X,Y,W,H,Image
Enterobius vermicularis,1.0,2143,2977,373,423,23_1.jpeg
Enterobius vermicularis,1.0,1763,2624,56,99,5_27.jpeg
Enterobius vermicularis,1.0,2181,1452,286,161,15_2.jpeg
Enterobius vermicularis,1.0,2103,2569,62,132,18_9.jpeg
Enterobius vermicularis,1.0,1698,1137,320,233,9_18.jpeg
Enterobius vermicularis,1.0,2361,1465,98,196,29_20.jpeg
Enterobius vermicularis,1.0,1070,2769,115,129,14_8.jpeg
Enterobius vermicularis,1.0,1995,1409,222,135,1_24.jpeg
Enterobius vermicularis,1.0,2892,2253,325,254,19_4.jpeg
Enterobius vermicularis,1.0,2324,830,86,99,10_6.jpeg
Enterobius vermicularis,1.0,2303,696,91,53,24_3.jpeg
Enterobius vermicularis,1.0,893,3168,77,109,7_29.jpeg
Enterobius vermicularis,1.0,2245,1947,63,106,25_24.jpeg
Enterobius vermicularis,1.0,863,3418,107,62,21_9.jpeg
Enterobius vermicularis,1.0,1406,2462,48,95,10_1.jpeg
Enterobius vermicularis,1.0,2791,2325,89,43,10_23.jpeg
Enterobius vermicularis,1.0,3235,1760,81,71,14_4.jpeg
Enterobius vermicularis,1.0,2407,2983,117,177,29_17.jpeg
Enterobius vermicularis,1.0,1763,2111,163,118,19_31.jpeg
Enterobius vermicularis,1.0,1881,1795,146,88,8_20.jpeg
Enterobius vermicularis,1.0,2600,785,134,269,15_23.jpeg
Enterobius vermicularis,1.0,1055,2637,73,109,3_17.jpeg
Enterobius vermicularis,1.0,1466,2740,138,70,1_20.jpeg
Enterobius vermicularis,1.0,966,2503,85,122,24_18.jpeg
Enterobius vermicularis,1.0,3008,2345,92,156,6_11.jpeg
Enterobius vermicularis,1.0,1070,2868,63,131,13_2.jpeg
Enterobius vermicularis,1.0,2508,2134,83,108,28_17.jpeg
Enterobius vermicularis,1.0,1485,2783,104,213,19_9.jpeg
Enterobius vermicularis,1.0,1334,2716,126,78,21_6.jpeg
Enterobius vermicularis,1.0,1662,2298,149,71,3_2.jpeg
Enterobius vermicularis,1.0,3265,1374,47,88,23_15.jpeg
Enterobius vermicularis,1.0,2309,2887,192,373,14_11.jpeg
Enterobius vermicularis,1.0,3313,797,233,165,17_30.jpeg
Enterobius vermicularis,1.0,2645,1880,147,75,18_15.jpeg
Enterobius vermicularis,1.0,3091,1669,70,116,25_27.jpeg
Enterobius vermicularis,1.0,2655,1176,221,420,3_31.jpeg
Enterobius vermicularis,1.0,1333,2644,52,104,26_24.jpeg
Enterobius vermicularis,1.0,2728,1992,67,118,25_12.jpeg
Enterobius vermicularis,1.0,2383,2425,52,104,23_24.jpeg
Enterobius vermicularis,1.0,3123,852,91,152,15_5.jpeg
Enterobius vermicularis,1.0,1135,2122,80,46,23_19.jpeg
Enterobius vermicularis,1.0,2737,1347,90,139,16_5.jpeg
Enterobius vermicularis,1.0,801,1280,59,114,8_24.jpeg
Enterobius vermicularis,1.0,2441,2697,78,39,10_3.jpeg
Enterobius vermicularis,1.0,2555,1844,152,153,21_27.jpeg
Enterobius vermicularis,1.0,1424,3284,88,63,27_15.jpeg
Enterobius vermicularis,1.0,1286,2732,55,119,10_29.jpeg
Enterobius vermicularis,1.0,2819,1298,110,79,29_5.jpeg
Enterobius vermicularis,1.0,2724,3411,58,103,24_10.jpeg
Enterobius vermicularis,1.0,2250,1019,89,56,23_28.jpeg
