Parasite,Confidence,X,Y,W,H,Image
Fasciolopsis buski,1.0,2342,2114,391,259,21_23.jpeg
Fasciolopsis buski,1.0,2549,1311,157,259,02_00.jpeg
Fasciolopsis buski,1.0,2086,1854,234,343,08_31.jpeg
Fasciolopsis buski,1.0,2611,2466,756,460,10_10.jpeg
Fasciolopsis buski,1.0,2202,2493,327,158,10_13.jpeg
Fasciolopsis buski,1.0,1495,1775,287,184,26_29.jpeg
Fasciolopsis buski,1.0,1789,3095,178,166,13_31.jpeg
Fasciolopsis buski,1.0,1623,1031,319,496,24_03.jpeg
Fasciolopsis buski,1.0,2791,2446,223,370,11_28.jpeg
Fasciolopsis buski,1.0,1383,1806,605,1050,04_23.jpeg
Fasciolopsis buski,1.0,2463,1597,771,409,23_16.jpeg
Fasciolopsis buski,1.0,1171,2820,286,169,19_01.jpeg
Fasciolopsis buski,1.0,2954,3282,211,124,18_24.jpeg
Fasciolopsis buski,1.0,1564,3102,405,212,09_12.jpeg
Fasciolopsis buski,1.0,1769,2431,589,814,19_10.jpeg
Fasciolopsis buski,1.0,537,2397,290,552,08_02.jpeg
Fasciolopsis buski,1.0,1125,1213,128,251,03_30.jpeg
Fasciolopsis buski,1.0,2546,2843,185,192,19_28.jpeg
Fasciolopsis buski,1.0,2295,2492,163,198,02_31.jpeg
Fasciolopsis buski,1.0,2576,3009,398,452,18_08.jpeg
Fasciolopsis buski,1.0,2261,1167,270,183,12_19.jpeg
Fasciolopsis buski,1.0,3014,2146,128,186,19_11.jpeg
Fasciolopsis buski,1.0,1762,1580,101,192,00_30.jpeg
Fasciolopsis buski,1.0,2473,1854,475,521,16_12.jpeg
Fasciolopsis buski,1.0,1139,2897,438,544,13_01.jpeg
Fasciolopsis buski,1.0,1847,2000,369,227,09_16.jpeg
Fasciolopsis buski,1.0,1742,3306,164,250,16_15.jpeg
Fasciolopsis buski,1.0,2654,2553,480,750,23_24.jpeg
Fasciolopsis buski,1.0,788,3571,284,236,26_00.jpeg
Fasciolopsis buski,1.0,1929,913,427,498,05_11.jpeg
Fasciolopsis buski,1.0,1781,2163,284,164,03_07.jpeg
Fasciolopsis buski,1.0,1627,1584,667,916,22_20.jpeg
Fasciolopsis buski,1.0,1761,1065,333,173,00_17.jpeg
Fasciolopsis buski,1.0,1968,2356,126,213,02_07.jpeg
Fasciolopsis buski,1.0,2133,2983,238,168,03_03.jpeg
Fasciolopsis buski,1.0,2806,2800,237,293,01_09.jpeg
Fasciolopsis buski,1.0,3605,1492,340,245,20_06.jpeg
Fasciolopsis buski,1.0,3165,1705,267,199,13_20.jpeg
Fasciolopsis buski,1.0,2517,1150,226,134,31_26.jpeg
Fasciolopsis buski,1.0,1700,1846,198,270,23_30.jpeg
Fasciolopsis buski,1.0,1915,2357,681,441,17_23.jpeg
Fasciolopsis buski,1.0,2705,2918,357,567,25_25.jpeg
Fasciolopsis buski,1.0,703,2547,127,198,13_12.jpeg
Fasciolopsis buski,1.0,1512,1496,262,305,16_11.jpeg
Fasciolopsis buski,1.0,3612,2807,373,198,08_22.jpeg
Fasciolopsis buski,1.0,1705,2766,129,220,26_31.jpeg
Fasciolopsis buski,1.0,1294,1144,162,238,15_08.jpeg
Fasciolopsis buski,1.0,2932,868,160,212,04_30.jpeg
Fasciolopsis buski,1.0,2095,1361,382,366,12_03.jpeg
Fasciolopsis buski,1.0,964,2385,451,302,00_15.jpeg
