Parasite,Confidence,X,Y,W,H,Image
Hymenolepis diminuta,1.0,2344,1122,231,218,22_17.jpeg
Hymenolepis diminuta,1.0,986,2942,301,299,08_20.jpeg
Hymenolepis diminuta,1.0,1648,991,222,224,04_09.jpeg
Hymenolepis diminuta,1.0,686,1447,115,120,25_16.jpeg
Hymenolepis diminuta,1.0,1406,2563,99,109,22_25.jpeg
Hymenolepis diminuta,1.0,1598,2878,180,177,19_18.jpeg
Hymenolepis diminuta,1.0,2472,1998,167,172,04_27.jpeg
Hymenolepis diminuta,1.0,3328,3086,137,137,07_22.jpeg
Hymenolepis diminuta,1.0,1713,2926,342,336,12_05.jpeg
Hymenolepis diminuta,1.0,2314,1330,398,402,03_23.jpeg
Hymenolepis diminuta,1.0,2841,2249,123,124,26_16.jpeg
Hymenolepis diminuta,1.0,2415,1251,132,133,01_01.jpeg
Hymenolepis diminuta,1.0,1430,2509,409,446,09_09.jpeg
Hymenolepis diminuta,1.0,2282,1883,147,147,31_13.jpeg
Hymenolepis diminuta,1.0,1485,2445,406,415,13_05.jpeg
Hymenolepis diminuta,1.0,990,1344,209,215,00_24.jpeg
Hymenolepis diminuta,1.0,2782,1136,125,130,06_16.jpeg
Hymenolepis diminuta,1.0,1968,1183,147,151,08_23.jpeg
Hymenolepis diminuta,1.0,2457,2457,143,145,00_04.jpeg
Hymenolepis diminuta,1.0,1018,937,128,124,13_10.jpeg
Hymenolepis diminuta,1.0,2051,1595,406,395,27_27.jpeg
Hymenolepis diminuta,1.0,1120,2446,100,100,22_23.jpeg
Hymenolepis diminuta,1.0,1735,3095,159,165,03_09.jpeg
Hymenolepis diminuta,1.0,1254,1896,125,126,27_11.jpeg
Hymenolepis diminuta,1.0,917,2499,210,204,29_17.jpeg
Hymenolepis diminuta,1.0,2618,2594,245,242,31_06.jpeg
Hymenolepis diminuta,1.0,2537,1789,148,149,11_10.jpeg
Hymenolepis diminuta,1.0,1693,1072,268,273,21_04.jpeg
Hymenolepis diminuta,1.0,1309,1731,216,217,05_28.jpeg
Hymenolepis diminuta,1.0,1902,3315,389,389,11_11.jpeg
Hymenolepis diminuta,1.0,3111,2533,194,198,05_24.jpeg
Hymenolepis diminuta,1.0,1597,1581,498,546,01_16.jpeg
Hymenolepis diminuta,1.0,1278,2098,174,167,16_24.jpeg
Hymenolepis diminuta,1.0,3385,1826,143,166,05_16.jpeg
Hymenolepis diminuta,1.0,2572,1451,258,264,23_27.jpeg
Hymenolepis diminuta,1.0,2736,2181,98,98,15_26.jpeg
Hymenolepis diminuta,1.0,1235,2742,187,196,21_21.jpeg
Hymenolepis diminuta,1.0,1637,3458,121,115,22_05.jpeg
Hymenolepis diminuta,1.0,1398,2947,169,174,28_00.jpeg
Hymenolepis diminuta,1.0,1740,1573,156,155,09_17.jpeg
Hymenolepis diminuta,1.0,1074,1560,107,98,07_18.jpeg
Hymenolepis diminuta,1.0,2207,1353,447,444,21_28.jpeg
Hymenolepis diminuta,1.0,1642,3320,130,132,30_14.jpeg
Hymenolepis diminuta,1.0,2771,2301,136,140,11_22.jpeg
Hymenolepis diminuta,1.0,3038,2243,127,138,20_24.jpeg
Hymenolepis diminuta,1.0,2205,1811,116,117,14_05.jpeg
Hymenolepis diminuta,1.0,3118,1186,368,372,25_27.jpeg
Hymenolepis diminuta,1.0,1957,1836,331,336,17_06.jpeg
Hymenolepis diminuta,1.0,2600,1354,146,146,13_13.jpeg
Hymenolepis diminuta,1.0,534,629,89,92,20_05.jpeg
