Parasite,Confidence,X,Y,W,H,Image
Hookworm,1.0,2337,606,231,136,25_29.jpeg
Hookworm,1.0,1252,3189,106,74,12_19.jpeg
Hookworm,1.0,2047,1756,175,99,29_05.jpeg
Hookworm,1.0,3155,2160,124,151,22_03.jpeg
Hookworm,1.0,2229,2648,138,156,20_08.jpeg
Hookworm,1.0,2410,3102,109,71,01_20.jpeg
Hookworm,1.0,2537,1824,161,91,17_06.jpeg
Hookworm,1.0,1342,1869,172,205,21_13.jpeg
Hookworm,1.0,2040,1342,102,142,16_18.jpeg
Hookworm,1.0,1291,1580,90,111,10_02.jpeg
Hookworm,1.0,1202,2292,152,107,19_07.jpeg
Hookworm,1.0,2896,3534,71,72,15_14.jpeg
Hookworm,1.0,1748,1944,89,142,04_30.jpeg
Hookworm,1.0,895,3415,250,368,16_19.jpeg
Hookworm,1.0,1144,2613,82,100,02_03.jpeg
Hookworm,1.0,3047,2302,193,291,02_25.jpeg
Hookworm,1.0,3038,1226,139,137,12_06.jpeg
Hookworm,1.0,3350,2005,342,330,10_31.jpeg
Hookworm,1.0,3563,2130,276,365,10_31.jpeg
Hookworm,1.0,1881,3346,278,243,24_24.jpeg
Hookworm,1.0,1686,1359,141,217,16_01.jpeg
Hookworm,1.0,751,2609,140,108,03_27.jpeg
Hookworm,1.0,910,2929,87,136,09_17.jpeg
Hookworm,1.0,1703,1068,259,380,29_08.jpeg
Hookworm,1.0,2613,2543,121,87,25_23.jpeg
Hookworm,1.0,1934,1086,366,234,27_01.jpeg
Hookworm,1.0,2392,3103,170,107,01_24.jpeg
Hookworm,1.0,1574,1026,133,97,12_15.jpeg
Hookworm,1.0,2549,2075,99,165,18_06.jpeg
Hookworm,1.0,2487,2158,172,197,00_07.jpeg
Hookworm,1.0,1107,1823,90,108,24_27.jpeg
Hookworm,1.0,2190,2225,291,200,20_19.jpeg
Hookworm,1.0,1239,2183,368,366,24_20.jpeg
Hookworm,1.0,867,2655,247,282,21_29.jpeg
Hookworm,1.0,3167,1265,279,320,03_20.jpeg
Hookworm,1.0,1794,2758,86,127,28_20.jpeg
Hookworm,1.0,734,950,290,228,14_09.jpeg
Hookworm,1.0,2166,2364,398,463,28_15.jpeg
Hookworm,1.0,2432,1278,78,108,20_17.jpeg
Hookworm,1.0,2407,2475,297,332,12_21.jpeg
Hookworm,1.0,2997,1490,265,310,11_00.jpeg
Hookworm,1.0,1588,1877,153,163,03_17.jpeg
Hookworm,1.0,2575,1366,356,222,18_22.jpeg
Hookworm,1.0,1650,2846,274,180,20_30.jpeg
Hookworm,1.0,1675,2204,117,106,15_10.jpeg
Hookworm,1.0,1952,2892,147,93,17_14.jpeg
Hookworm,1.0,2130,1543,104,146,16_29.jpeg
Hookworm,1.0,2228,2670,164,125,13_22.jpeg
Hookworm,1.0,1145,3383,140,140,07_24.jpeg
Hookworm,1.0,2568,2358,135,121,21_11.jpeg
Hookworm,1.0,1419,1749,134,165,13_19.jpeg
