Parasite,Confidence,X,Y,W,H,Image
Taenia spp,1.0,1087,2105,113,112,11_13.jpeg
Taenia spp,1.0,1224,1769,227,221,10_05.jpeg
Taenia spp,1.0,1156,3358,69,62,15_28.jpeg
Taenia spp,1.0,1146,1518,130,114,18_22.jpeg
Taenia spp,1.0,1570,2053,70,64,26_23.jpeg
Taenia spp,1.0,1586,2656,64,62,24_25.jpeg
Taenia spp,1.0,1281,1660,243,239,23_02.jpeg
Taenia spp,1.0,1254,2681,100,88,05_27.jpeg
Taenia spp,1.0,1111,3081,90,82,26_24.jpeg
Taenia spp,1.0,3066,2870,47,51,15_25.jpeg
Taenia spp,1.0,2481,3004,238,213,18_11.jpeg
Taenia spp,1.0,1379,2990,68,60,00_28.jpeg
Taenia spp,1.0,662,2386,53,60,31_29.jpeg
Taenia spp,1.0,3373,3341,65,55,14_23.jpeg
Taenia spp,1.0,2913,2945,199,199,11_02.jpeg
Taenia spp,1.0,1574,2728,55,46,24_07.jpeg
Taenia spp,1.0,1825,1193,225,252,04_09.jpeg
Taenia spp,1.0,1649,2153,81,79,21_11.jpeg
Taenia spp,1.0,2526,1869,155,173,14_24.jpeg
Taenia spp,1.0,2417,2177,270,237,11_22.jpeg
Taenia spp,1.0,2900,775,86,96,25_13.jpeg
Taenia spp,1.0,3330,1161,89,93,25_13.jpeg
Taenia spp,1.0,2801,2501,96,102,15_18.jpeg
Taenia spp,1.0,3240,3638,107,95,01_16.jpeg
Taenia spp,1.0,3244,1618,71,79,17_26.jpeg
Taenia spp,1.0,2758,2749,88,95,14_15.jpeg
Taenia spp,1.0,2742,1319,236,285,06_19.jpeg
Taenia spp,1.0,1588,2082,119,107,16_13.jpeg
Taenia spp,1.0,1909,1850,62,64,08_23.jpeg
Taenia spp,1.0,1746,3016,78,83,01_15.jpeg
Taenia spp,1.0,1919,1599,146,133,15_06.jpeg
Taenia spp,1.0,1748,1680,75,73,10_31.jpeg
Taenia spp,1.0,1470,1667,113,104,23_04.jpeg
Taenia spp,1.0,2550,2350,83,91,23_17.jpeg
Taenia spp,1.0,1653,980,77,76,21_19.jpeg
Taenia spp,1.0,2387,3002,74,74,06_24.jpeg
Taenia spp,1.0,3121,1406,172,186,28_12.jpeg
Taenia spp,1.0,2700,1298,57,61,23_20.jpeg
Taenia spp,1.0,1014,2716,231,213,16_07.jpeg
Taenia spp,1.0,1356,2212,51,51,06_12.jpeg
Taenia spp,1.0,1830,3417,127,128,29_22.jpeg
Taenia spp,1.0,1423,2773,108,125,06_04.jpeg
Taenia spp,1.0,2184,1211,61,71,17_10.jpeg
Taenia spp,1.0,2424,1557,139,147,24_21.jpeg
Taenia spp,1.0,1353,2401,73,85,06_16.jpeg
Taenia spp,1.0,1237,2205,76,74,06_16.jpeg
Taenia spp,1.0,3111,1513,76,66,20_08.jpeg
Taenia spp,1.0,2583,3013,75,81,19_08.jpeg
Taenia spp,1.0,2090,1769,98,110,26_06.jpeg
Taenia spp,1.0,1447,3323,89,81,11_23.jpeg
Taenia spp,1.0,2742,1988,94,84,04_22.jpeg
Taenia spp,1.0,2443,1239,76,66,05_03.jpeg
