Parasite,Confidence,X,Y,W,H,Image
Trichuris trichiura,1.0,1854,2151,154,86,23_18.jpeg
Trichuris trichiura,1.0,2913,2466,93,132,25_15.jpeg
Trichuris trichiura,1.0,2622,1310,123,84,08_08.jpeg
Trichuris trichiura,1.0,2078,1195,82,107,00_04.jpeg
Trichuris trichiura,1.0,902,1306,72,61,20_27.jpeg
Trichuris trichiura,1.0,2333,3307,222,184,10_13.jpeg
Trichuris trichiura,1.0,2629,1109,125,63,18_30.jpeg
Trichuris trichiura,1.0,1355,2504,51,97,01_18.jpeg
Trichuris trichiura,1.0,989,3121,73,136,06_18.jpeg
Trichuris trichiura,1.0,669,2524,65,63,00_30.jpeg
Trichuris trichiura,1.0,2242,1508,73,164,31_06.jpeg
Trichuris trichiura,1.0,1085,3071,82,58,03_26.jpeg
Trichuris trichiura,1.0,720,2116,93,170,16_23.jpeg
Trichuris trichiura,1.0,3327,1853,227,103,20_05.jpeg
Trichuris trichiura,1.0,2177,1011,125,64,20_15.jpeg
Trichuris trichiura,1.0,3011,2038,104,206,20_17.jpeg
Trichuris trichiura,1.0,431,2965,368,248,30_22.jpeg
Trichuris trichiura,1.0,2829,904,224,128,31_08.jpeg
Trichuris trichiura,1.0,2124,3141,120,67,10_03.jpeg
Trichuris trichiura,1.0,2540,1621,240,242,09_01.jpeg
Trichuris trichiura,1.0,2582,1684,185,327,06_13.jpeg
Trichuris trichiura,1.0,1306,1006,68,44,25_04.jpeg
Trichuris trichiura,1.0,1046,2921,99,54,16_02.jpeg
Trichuris trichiura,1.0,1695,2483,96,51,14_24.jpeg
Trichuris trichiura,1.0,3009,1028,257,166,30_05.jpeg
Trichuris trichiura,1.0,1177,1489,89,174,13_22.jpeg
Trichuris trichiura,1.0,1638,960,52,106,31_19.jpeg
Trichuris trichiura,1.0,1571,2508,269,225,22_30.jpeg
Trichuris trichiura,1.0,2175,1229,142,71,23_12.jpeg
Trichuris trichiura,1.0,2727,829,295,223,22_03.jpeg
Trichuris trichiura,1.0,1161,2852,59,89,11_14.jpeg
Trichuris trichiura,1.0,2983,2604,146,280,30_13.jpeg
Trichuris trichiura,1.0,1689,698,126,93,17_17.jpeg
Trichuris trichiura,1.0,1283,2260,38,82,02_02.jpeg
Trichuris trichiura,1.0,1998,2358,146,80,19_00.jpeg
Trichuris trichiura,1.0,2838,1964,152,77,07_26.jpeg
Trichuris trichiura,1.0,3249,2842,171,239,18_10.jpeg
Trichuris trichiura,1.0,2399,1388,235,167,07_24.jpeg
Trichuris trichiura,1.0,2165,2045,99,57,27_06.jpeg
Trichuris trichiura,1.0,2645,1740,201,103,30_29.jpeg
Trichuris trichiura,1.0,1164,1221,99,115,28_29.jpeg
Trichuris trichiura,1.0,1987,2379,83,101,26_22.jpeg
Trichuris trichiura,1.0,935,3100,60,93,18_12.jpeg
Trichuris trichiura,1.0,3468,2069,53,54,31_05.jpeg
Trichuris trichiura,1.0,1968,2865,76,80,17_28.jpeg
Trichuris trichiura,1.0,2374,616,81,134,08_09.jpeg
Trichuris trichiura,1.0,2783,3171,98,62,23_01.jpeg
Trichuris trichiura,1.0,3306,1324,110,77,07_19.jpeg
Trichuris trichiura,1.0,1286,1719,148,226,22_09.jpeg
Trichuris trichiura,1.0,1313,1081,137,81,29_11.jpeg
