Parasite,Confidence,X,Y,W,H,Image
Capillaria philippinensis,1.0,2610,2842,163,96,20_18.jpeg
Capillaria philippinensis,1.0,1945,1860,130,72,13_1.jpeg
Capillaria philippinensis,1.0,2518,2800,221,376,2_29.jpeg
Capillaria philippinensis,1.0,2217,2605,72,43,1_5.jpeg
Capillaria philippinensis,1.0,1505,2664,220,263,3_23.jpeg
Capillaria philippinensis,1.0,1912,3045,45,61,4_22.jpeg
Capillaria philippinensis,1.0,1969,3131,247,121,8_6.jpeg
Capillaria philippinensis,1.0,1725,2769,77,107,26_15.jpeg
Capillaria philippinensis,1.0,2439,2533,115,58,21_1.jpeg
Capillaria philippinensis,1.0,3074,1631,90,67,23_22.jpeg
Capillaria philippinensis,1.0,1642,2346,39,62,12_7.jpeg
Capillaria philippinensis,1.0,1399,1593,50,82,10_0.jpeg
Capillaria philippinensis,1.0,2413,3239,57,84,18_4.jpeg
Capillaria philippinensis,1.0,2566,2445,117,72,2_20.jpeg
Capillaria philippinensis,1.0,1939,1816,46,80,23_0.jpeg
Capillaria philippinensis,1.0,1163,2271,115,62,29_2.jpeg
Capillaria philippinensis,1.0,3049,2562,208,240,14_27.jpeg
Capillaria philippinensis,1.0,1525,2746,169,152,19_26.jpeg
Capillaria philippinensis,1.0,2762,1606,244,177,2_9.jpeg
Capillaria philippinensis,1.0,1362,2969,175,110,3_26.jpeg
Capillaria philippinensis,1.0,1686,3058,136,127,3_26.jpeg
Capillaria philippinensis,1.0,2286,2221,54,71,0_10.jpeg
Capillaria philippinensis,1.0,2990,1337,86,126,8_3.jpeg
Capillaria philippinensis,1.0,3694,3375,112,213,19_24.jpeg
Capillaria philippinensis,1.0,3144,1335,66,118,16_25.jpeg
Capillaria philippinensis,1.0,1241,3135,67,65,21_0.jpeg
Capillaria philippinensis,1.0,590,844,42,56,1_6.jpeg
Capillaria philippinensis,1.0,1463,1782,60,122,28_21.jpeg
Capillaria philippinensis,1.0,1211,2669,66,108,24_26.jpeg
Capillaria philippinensis,1.0,2620,2076,42,75,19_14.jpeg
Capillaria philippinensis,1.0,2234,1576,69,46,7_19.jpeg
Capillaria philippinensis,1.0,3572,1680,58,31,24_10.jpeg
Capillaria philippinensis,1.0,3127,1639,56,56,19_22.jpeg
Capillaria philippinensis,1.0,897,545,190,141,31_22.jpeg
Capillaria philippinensis,1.0,2176,1500,99,206,21_21.jpeg
Capillaria philippinensis,1.0,2167,1812,66,78,11_19.jpeg
Capillaria philippinensis,1.0,610,3459,79,45,21_19.jpeg
Capillaria philippinensis,1.0,3029,2701,71,103,11_16.jpeg
Capillaria philippinensis,1.0,2105,2863,60,88,20_28.jpeg
Capillaria philippinensis,1.0,1692,3034,91,136,21_30.jpeg
Capillaria philippinensis,1.0,2534,1984,64,61,19_4.jpeg
Capillaria philippinensis,1.0,2029,1966,39,59,1_16.jpeg
Capillaria philippinensis,1.0,2253,2863,135,207,29_22.jpeg
Capillaria philippinensis,1.0,1928,2357,77,40,24_27.jpeg
Capillaria philippinensis,1.0,865,2883,110,210,7_24.jpeg
Capillaria philippinensis,1.0,1419,2250,74,109,19_29.jpeg
Capillaria philippinensis,1.0,1725,1696,143,156,28_26.jpeg
Capillaria philippinensis,1.0,1184,2331,72,116,6_20.jpeg
Capillaria philippinensis,1.0,3320,790,265,158,19_15.jpeg
Capillaria philippinensis,1.0,2150,2189,185,134,5_10.jpeg
Capillaria philippinensis,1.0,2377,2194,151,79,16_0.jpeg
