Parasite,Confidence,X,Y,W,H,Image
Opisthorchis viverrine,1.0,3119,1182,43,75,16_26.jpeg
Opisthorchis viverrine,1.0,1141,903,52,24,31_19.jpeg
Opisthorchis viverrine,1.0,1695,2568,58,44,25_18.jpeg
Opisthorchis viverrine,1.0,1127,972,56,37,31_29.jpeg
Opisthorchis viverrine,1.0,1397,2664,33,54,26_4.jpeg
Opisthorchis viverrine,1.0,1163,1595,51,77,10_18.jpeg
Opisthorchis viverrine,1.0,918,2446,87,149,29_15.jpeg
Opisthorchis viverrine,1.0,2085,1571,112,63,24_10.jpeg
Opisthorchis viverrine,1.0,1521,1372,58,39,7_23.jpeg
Opisthorchis viverrine,1.0,2398,1119,80,42,18_4.jpeg
Opisthorchis viverrine,1.0,1273,3377,46,24,18_2.jpeg
Opisthorchis viverrine,1.0,2298,1335,35,57,26_29.jpeg
Opisthorchis viverrine,1.0,2437,1380,36,62,18_23.jpeg
Opisthorchis viverrine,1.0,2018,3482,43,71,25_4.jpeg
Opisthorchis viverrine,1.0,2989,818,36,53,20_7.jpeg
Opisthorchis viverrine,1.0,2394,2153,73,119,19_27.jpeg
Opisthorchis viverrine,1.0,2873,854,55,24,13_3.jpeg
Opisthorchis viverrine,1.0,2215,1333,40,37,18_16.jpeg
Opisthorchis viverrine,1.0,1761,2952,46,58,3_24.jpeg
Opisthorchis viverrine,1.0,2347,1686,38,60,9_2.jpeg
Opisthorchis viverrine,1.0,929,2889,35,25,10_21.jpeg
Opisthorchis viverrine,1.0,829,2015,44,24,22_3.jpeg
Opisthorchis viverrine,1.0,1287,2786,54,32,14_22.jpeg
Opisthorchis viverrine,1.0,2591,1585,75,63,22_22.jpeg
Opisthorchis viverrine,1.0,1491,2543,61,69,20_26.jpeg
Opisthorchis viverrine,1.0,2756,2213,54,73,27_21.jpeg
Opisthorchis viverrine,1.0,3146,1986,48,47,24_4.jpeg
Opisthorchis viverrine,1.0,2202,1232,44,56,27_24.jpeg
Opisthorchis viverrine,1.0,1478,1033,37,30,29_8.jpeg
Opisthorchis viverrine,1.0,2286,1373,50,75,15_31.jpeg
Opisthorchis viverrine,1.0,2337,1460,93,53,7_26.jpeg
Opisthorchis viverrine,1.0,3243,1558,37,53,8_4.jpeg
Opisthorchis viverrine,1.0,1069,1206,38,23,11_14.jpeg
Opisthorchis viverrine,1.0,2762,742,44,31,2_31.jpeg
Opisthorchis viverrine,1.0,612,2659,53,30,5_12.jpeg
Opisthorchis viverrine,1.0,2701,1191,41,52,7_7.jpeg
Opisthorchis viverrine,1.0,1249,2539,150,176,15_27.jpeg
Opisthorchis viverrine,1.0,2445,2186,129,73,31_23.jpeg
Opisthorchis viverrine,1.0,936,2922,141,78,21_22.jpeg
Opisthorchis viverrine,1.0,709,2398,37,61,2_6.jpeg
Opisthorchis viverrine,1.0,2859,1653,46,36,8_21.jpeg
Opisthorchis viverrine,1.0,2084,1370,50,84,17_21.jpeg
Opisthorchis viverrine,1.0,2771,2636,58,34,17_10.jpeg
Opisthorchis viverrine,1.0,3137,2281,47,56,25_26.jpeg
Opisthorchis viverrine,1.0,1524,2053,218,140,31_15.jpeg
Opisthorchis viverrine,1.0,2103,2874,38,20,24_2.jpeg
Opisthorchis viverrine,1.0,2553,2865,99,174,23_2.jpeg
Opisthorchis viverrine,1.0,1791,2596,39,30,15_7.jpeg
Opisthorchis viverrine,1.0,2385,2969,65,43,12_21.jpeg
Opisthorchis viverrine,1.0,1372,3141,33,28,9_7.jpeg
